Name,Title
David C. Munson, Jr. Robert J. Vlasic Dean of Engineering
Brian D. Noble, Associate Dean for Undergraduate Education
Alec D. Gallimore, Associate Dean for Academic Affairs
Dawn M. Tilbury, Associate Dean for Research
Jennifer J. Linderman, Associate Dean for Graduate Education 
Thomas H. Zurbuchen, Associate Dean for Entrepreneurial Programs
Jeanne Murabito, Executive Director for Student Affairs
Deborah Mero, Executive Director of Resource Planning and Management
Jennifer Wegner, Assistant Director of Student Affairs
